Source,Target,Type,Id,Label,timeset,Weight
219,1,Unidirected,679,,,11
219,2,Unidirected,680,,,20
219,3,Unidirected,681,,,10
219,4,Unidirected,682,,,11
220,1,Unidirected,683,,,11
220,2,Unidirected,684,,,2
220,3,Unidirected,685,,,7
220,4,Unidirected,686,,,3
221,1,Unidirected,687,,,42
221,2,Unidirected,688,,,18
221,3,Unidirected,689,,,7
221,4,Unidirected,690,,,4
222,1,Unidirected,691,,,20
222,2,Unidirected,692,,,11
222,3,Unidirected,693,,,5
222,4,Unidirected,694,,,5
223,1,Unidirected,695,,,64
223,2,Unidirected,696,,,17
223,3,Unidirected,697,,,16
223,4,Unidirected,698,,,19
224,1,Unidirected,699,,,13
224,4,Unidirected,700,,,3
225,1,Unidirected,701,,,67
225,3,Unidirected,702,,,13
225,2,Unidirected,703,,,25
225,4,Unidirected,704,,,14
226,1,Unidirected,705,,,206
226,3,Unidirected,706,,,25
226,2,Unidirected,707,,,66
226,4,Unidirected,708,,,50
227,1,Unidirected,709,,,64
227,3,Unidirected,710,,,15
227,2,Unidirected,711,,,30
227,4,Unidirected,712,,,7
228,1,Unidirected,713,,,134
228,2,Unidirected,714,,,48
228,3,Unidirected,715,,,39
228,4,Unidirected,716,,,36
229,1,Unidirected,717,,,3
229,4,Unidirected,718,,,4
230,1,Unidirected,719,,,142
230,3,Unidirected,720,,,33
230,2,Unidirected,721,,,48
230,4,Unidirected,722,,,38
231,1,Unidirected,723,,,42
231,2,Unidirected,724,,,15
231,3,Unidirected,725,,,14
231,4,Unidirected,726,,,8
232,2,Unidirected,727,,,26
232,1,Unidirected,728,,,44
232,3,Unidirected,729,,,3
232,4,Unidirected,730,,,12
233,2,Unidirected,731,,,7
233,1,Unidirected,732,,,13
233,3,Unidirected,733,,,3
234,2,Unidirected,734,,,2
234,1,Unidirected,735,,,2
235,2,Unidirected,736,,,8
235,1,Unidirected,737,,,28
235,3,Unidirected,738,,,5
235,4,Unidirected,739,,,2
236,2,Unidirected,740,,,31
236,1,Unidirected,741,,,55
236,3,Unidirected,742,,,42
236,4,Unidirected,743,,,55
237,2,Unidirected,744,,,2
238,1,Unidirected,745,,,151
238,2,Unidirected,746,,,63
238,4,Unidirected,747,,,34
238,3,Unidirected,748,,,45
239,2,Unidirected,749,,,22
239,1,Unidirected,750,,,57
239,3,Unidirected,751,,,13
239,4,Unidirected,752,,,6
240,2,Unidirected,753,,,9
240,1,Unidirected,754,,,26
240,3,Unidirected,755,,,6
240,4,Unidirected,756,,,6
241,1,Unidirected,757,,,2
242,1,Unidirected,758,,,41
242,2,Unidirected,759,,,15
242,3,Unidirected,760,,,10
242,4,Unidirected,761,,,12
243,3,Unidirected,762,,,2
243,4,Unidirected,763,,,3
244,1,Unidirected,764,,,44
244,2,Unidirected,765,,,19
244,3,Unidirected,766,,,15
244,4,Unidirected,767,,,22
245,1,Unidirected,768,,,25
245,3,Unidirected,769,,,11
245,2,Unidirected,770,,,9
245,4,Unidirected,771,,,9
246,1,Unidirected,772,,,2
246,3,Unidirected,773,,,2
247,1,Unidirected,774,,,43
247,2,Unidirected,775,,,13
247,3,Unidirected,776,,,6
247,4,Unidirected,777,,,19
248,1,Unidirected,778,,,17
248,2,Unidirected,779,,,9
248,4,Unidirected,780,,,3
248,3,Unidirected,781,,,7
249,3,Unidirected,782,,,4
250,1,Unidirected,783,,,12
250,4,Unidirected,784,,,2
251,1,Unidirected,785,,,47
251,3,Unidirected,786,,,8
251,2,Unidirected,787,,,7
252,1,Unidirected,788,,,2
252,4,Unidirected,789,,,3
253,1,Unidirected,790,,,5
254,1,Unidirected,791,,,73
254,2,Unidirected,792,,,21
254,3,Unidirected,793,,,18
254,4,Unidirected,794,,,25
255,1,Unidirected,795,,,40
255,2,Unidirected,796,,,18
255,3,Unidirected,797,,,14
255,4,Unidirected,798,,,17
256,1,Unidirected,799,,,35
256,3,Unidirected,800,,,2
256,2,Unidirected,801,,,7
256,4,Unidirected,802,,,2
257,1,Unidirected,803,,,5
257,3,Unidirected,804,,,2
258,1,Unidirected,805,,,78
258,2,Unidirected,806,,,16
258,4,Unidirected,807,,,27
258,3,Unidirected,808,,,10
259,1,Unidirected,809,,,8
259,3,Unidirected,810,,,4
259,4,Unidirected,811,,,2
260,1,Unidirected,812,,,3
261,1,Unidirected,813,,,80
261,2,Unidirected,814,,,15
261,3,Unidirected,815,,,6
261,4,Unidirected,816,,,9
262,1,Unidirected,817,,,8
262,4,Unidirected,818,,,3
263,1,Unidirected,819,,,12
263,2,Unidirected,820,,,2
263,3,Unidirected,821,,,2
264,1,Unidirected,822,,,7
264,2,Unidirected,823,,,2
265,1,Unidirected,824,,,8
266,1,Unidirected,825,,,10
266,2,Unidirected,826,,,7
266,3,Unidirected,827,,,9
266,4,Unidirected,828,,,3
267,2,Unidirected,829,,,3
267,1,Unidirected,830,,,5
268,2,Unidirected,831,,,3
269,1,Unidirected,832,,,4
270,1,Unidirected,833,,,18
270,3,Unidirected,834,,,7
270,2,Unidirected,835,,,8
271,1,Unidirected,836,,,4
271,2,Unidirected,837,,,6
271,3,Unidirected,838,,,2
272,1,Unidirected,839,,,105
272,2,Unidirected,840,,,41
272,3,Unidirected,841,,,25
272,4,Unidirected,842,,,29
273,1,Unidirected,843,,,122
273,3,Unidirected,844,,,43
